# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  270,19940812,  174,  144,  201
  270,19940813,  148,  124,  178
  270,19940814,  137,  115,  158
  270,19940815,  141,   92,  183
  270,19940816,  157,   74,  212
  270,19940817,  144,  106,  184
  270,19940818,  143,  106,  179
  270,19940819,  160,  111,  209
  270,19940820,  153,  104,  198
  270,19940821,  164,  117,  213
  270,19940822,  169,  120,  221
  270,19940823,  172,  140,  209
  270,19940824,  173,  143,  207
  270,19940825,  165,  140,  197
  270,19940826,  165,  115,  209
  270,19940827,  155,  104,  200
  270,19940828,  148,  117,  173
  270,19940829,  147,   99,  179
  270,19940830,  149,  104,  191
  270,19940831,  167,  127,  211
  270,19940901,  168,  147,  200
  270,19940902,  152,  129,  178
  270,19940903,  156,  120,  191
  270,19940904,  152,  105,  187
  270,19940905,  147,  118,  177
  270,19940906,  130,   78,  176
  270,19940907,  125,   85,  162
  270,19940908,  142,  110,  194
  270,19940909,  131,  109,  161
  270,19940910,  125,   95,  157
  270,19940911,  130,   97,  171
  270,19940912,  149,  116,  195
  270,19940913,  136,   67,  177
  270,19940914,  132,   60,  165
  270,19940915,  130,  118,  139
  270,19940916,  121,  104,  141
  270,19940917,  131,  109,  161
  270,19940918,  123,   86,  160
  270,19940919,  121,   75,  168
  270,19940920,  125,  103,  150
  270,19940921,  119,   82,  161
  270,19940922,  112,   44,  175
  270,19940923,  119,   50,  179
  270,19940924,  134,   89,  176
  270,19940925,  142,   88,  178
  270,19940926,  136,   85,  161
  270,19940927,  119,   62,  145
  270,19940928,  112,   56,  158
  270,19940929,  140,  127,  153
  270,19940930,  139,  124,  161
  270,19941001,  116,   85,  142
  270,19941002,  126,   89,  158
  270,19941003,   95,   47,  133
  270,19941004,   68,   35,  102
  270,19941005,   70,   40,  115
  270,19941006,   96,   45,  121
  270,19941007,   96,   53,  141
  270,19941008,   90,   55,  122
  270,19941009,  101,   60,  148
  270,19941010,   93,   45,  151
  270,19941011,   72,   46,  131
  270,19941012,   85,   42,  136
  270,19941013,   93,   28,  159
  270,19941014,  108,   36,  189
  270,19941015,   93,   21,  138
  270,19941016,   91,   40,  115
  270,19941017,   61,   20,  104
  270,19941018,   49,   -5,   90
  270,19941019,   53,    8,   94
  270,19941020,   61,   25,   90
  270,19941021,   77,   34,  115
  270,19941022,  119,   75,  148
  270,19941023,  121,   95,  151
  270,19941024,   91,   64,  120
  270,19941025,   95,   71,  119
  270,19941026,   84,   67,  105
  270,19941027,   72,   56,   86
  270,19941028,   82,   60,  111
  270,19941029,   78,   57,  103
  270,19941030,  115,   84,  140
  270,19941031,  127,  112,  142
  270,19941101,  102,   45,  117
  270,19941102,   73,   33,  123
  270,19941103,   91,   54,  134
  270,19941104,  113,   80,  160
  270,19941105,   94,   57,  140
  270,19941106,   98,   57,  128
  270,19941107,   94,   68,  118
  270,19941108,   96,   83,  116
  270,19941109,   84,   75,   95
  270,19941110,   83,   78,   88
  270,19941111,   73,   53,   84
  270,19941112,   40,   31,   53
  270,19941113,   86,   34,  129
  270,19941114,  135,  128,  142
  270,19941115,  117,  103,  132
  270,19941116,   90,   46,  109
  270,19941117,   83,   54,  101
  270,19941118,   54,   16,   82
  270,19941119,   92,   41,  131
  270,19941120,  124,   88,  137
  270,19941121,   70,   24,  116
  270,19941122,   50,   22,   80
  270,19941123,   94,   44,  120
  270,19941124,   96,   62,  122
  270,19941125,   84,   50,  111
  270,19941126,  105,   78,  114
  270,19941127,   98,   77,  107
  270,19941128,   85,   43,  111
  270,19941129,   82,   55,  105
  270,19941130,   70,   43,   99
  270,19941201,   39,   14,   58
  270,19941202,   13,   -3,   39
  270,19941203,   65,   10,  106
  270,19941204,   86,   59,  115
  270,19941205,   83,   54,  100
  270,19941206,   67,   25,   93
  270,19941207,   61,   37,   91
  270,19941208,   76,   58,   94
  270,19941209,   56,   13,   95
  270,19941210,   78,   11,  128
  270,19941211,  119,  107,  128
  270,19941212,  117,   92,  125
  270,19941213,   80,   45,  102
  270,19941214,   44,    9,   76
  270,19941215,   20,  -11,   47
  270,19941216,   47,    7,   87
  270,19941217,   32,    2,   57
  270,19941218,   55,   45,   64
  270,19941219,   47,   29,   63
  270,19941220,   29,    6,   61
  270,19941221,   19,  -15,   60
  270,19941222,   -2,  -41,   51
  270,19941223,  -33,  -69,  -12
  270,19941224,  -39,  -83,  -13
  270,19941225,  -16,  -33,    8
  270,19941226,   21,    7,   45
  270,19941227,   56,   42,   88
  270,19941228,   91,   40,  126
  270,19941229,  101,   68,  124
  270,19941230,   70,   56,   82
  270,19941231,   56,   26,   76
